+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/reg_if_id_/next_pc_o_reg[30]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/reg_if_id_/next_pc_o_reg[14]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                               cpu0/reg_pc_/pc_o_reg[29]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                               cpu0/reg_pc_/pc_o_reg[19]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                               cpu0/reg_pc_/pc_o_reg[30]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                               cpu0/reg_pc_/pc_o_reg[10]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/reg_if_id_/next_pc_o_reg[10]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/reg_if_id_/next_pc_o_reg[20]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/reg_if_id_/next_pc_o_reg[17]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/reg_if_id_/next_pc_o_reg[26]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/reg_if_id_/next_pc_o_reg[25]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/reg_if_id_/next_pc_o_reg[16]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                               cpu0/reg_pc_/pc_o_reg[24]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                               cpu0/reg_pc_/pc_o_reg[26]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                               cpu0/reg_pc_/pc_o_reg[18]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                               cpu0/reg_pc_/pc_o_reg[16]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                               cpu0/reg_pc_/pc_o_reg[25]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/reg_if_id_/next_pc_o_reg[18]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                               cpu0/reg_pc_/pc_o_reg[14]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                               cpu0/reg_pc_/pc_o_reg[17]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                               cpu0/reg_pc_/pc_o_reg[20]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[192][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[401][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[836][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[327][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                      cpu0/ctrl_branch_/bht_reg[1871][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[445][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[350][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[393][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[260][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[262][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[489][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                      cpu0/ctrl_branch_/bht_reg[1090][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[447][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[168][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[228][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[225][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[244][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[719][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[541][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[691][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[275][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[804][0]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[384][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[607][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[611][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[263][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[547][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[380][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[329][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                      cpu0/ctrl_branch_/bht_reg[1117][0]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[719][0]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[656][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[654][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[312][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[620][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                      cpu0/ctrl_branch_/bht_reg[1914][0]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[165][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[559][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[271][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[301][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[671][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[569][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[958][0]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[194][1]/D|
